DATE,TIME,RCA_H,RCA_V,BASELINE
2018-11-08,00-00 Z,0.0,0.0,1
2018-10-18,12-00 Z,-1.7544216635831589,-0.7396192806263855,0
2018-10-19,00-12 Z,-1.6271723211744131,-1.4816975847137357,0
2018-10-19,12-00 Z,-1.9112300712644767,-1.6017183592952189,0
2018-10-20,00-12 Z,-1.7005822795153451,-2.3064261661423866,0
2018-10-20,12-00 Z,-2.2871317530346573,-2.231429258628424,0
2018-10-21,00-12 Z,-1.9126870726243084,-2.1318630122336732,0
2018-10-21,12-00 Z,-1.9512779018767787,-1.1666547917620207,0
2018-10-22,00-00 Z,-2.681859346602017,-2.272575488209206,0
2018-10-23,00-00 Z,-2.586759774358015,-2.1391694342601326,0
